InvoiceNo,InvoiceDate,CustomerID,Country,StockCode,Description,Quantity,UnitPrice
INV-0001-001,2025-05-20,C0001,United Kingdom,SKU-819,LED Bulb,2,6.77
INV-0001-002,2025-02-20,C0001,India,SKU-453,Coffee Beans 500g,5,3.46
INV-0002-001,2025-06-29,C0002,India,SKU-483,Backpack,3,12.08
INV-0002-002,2025-03-11,C0002,United Kingdom,SKU-497,Coffee Beans 500g,5,6.6
INV-0002-003,2025-08-17,C0002,India,SKU-193,Coffee Beans 500g,1,36.86
INV-0003-001,2025-10-25,C0003,India,SKU-304,Coffee Beans 500g,4,4.07
INV-0003-002,2025-02-10,C0003,USA,SKU-954,Backpack,2,11.02
INV-0003-003,2025-06-30,C0003,India,SKU-135,Notebook Pack,1,39.97
INV-0003-004,2025-06-12,C0003,Germany,SKU-455,Notebook Pack,5,3.32
INV-0003-005,2025-12-04,C0003,United Kingdom,SKU-674,Yoga Mat,3,18.48
INV-0004-001,2025-11-12,C0004,United Kingdom,SKU-437,Desk Organizer,3,58.12
INV-0004-002,2025-04-06,C0004,India,SKU-653,Desk Organizer,1,324.61
INV-0004-003,2025-06-14,C0004,United Kingdom,SKU-727,Water Bottle,5,44.66
INV-0004-004,2025-10-30,C0004,India,SKU-906,Notebook Pack,4,100.52
INV-0004-005,2025-08-28,C0004,India,SKU-278,Notebook Pack,4,62.75
INV-0004-006,2025-07-11,C0004,United Kingdom,SKU-441,Water Bottle,4,85.51
INV-0004-007,2025-05-10,C0004,India,SKU-585,Backpack,3,117.81
INV-0004-008,2025-06-04,C0004,USA,SKU-247,Water Bottle,5,74.95
INV-0004-009,2025-06-20,C0004,India,SKU-860,Water Bottle,1,379.9
INV-0004-010,2025-02-11,C0004,India,SKU-423,Coffee Beans 500g,3,62.74
INV-0004-011,2025-05-22,C0004,India,SKU-658,Phone Case,4,81.63
INV-0004-012,2025-10-24,C0004,United Kingdom,SKU-326,LED Bulb,2,111.72
INV-0004-013,2025-06-15,C0004,Germany,SKU-356,Water Bottle,1,325.25
INV-0004-014,2025-02-14,C0004,India,SKU-378,Cotton T-Shirt,1,352.94
INV-0005-001,2025-10-28,C0005,India,SKU-903,Cotton T-Shirt,5,27.59
INV-0005-002,2025-06-25,C0005,India,SKU-314,Backpack,5,23.71
INV-0005-003,2025-03-31,C0005,Germany,SKU-427,Wireless Mouse,2,50.34
INV-0005-004,2025-01-17,C0005,India,SKU-214,Water Bottle,1,154.29
INV-0005-005,2025-01-27,C0005,India,SKU-668,Coffee Beans 500g,4,42.71
INV-0005-006,2025-04-12,C0005,India,SKU-329,Coffee Beans 500g,5,22.74
INV-0005-007,2025-11-24,C0005,India,SKU-487,Coffee Beans 500g,4,58.31
INV-0006-001,2025-01-12,C0006,India,SKU-981,Water Bottle,2,11.33
INV-0006-002,2025-11-11,C0006,United Kingdom,SKU-255,Water Bottle,2,10.88
INV-0006-003,2025-11-21,C0006,India,SKU-227,Phone Case,3,7.2
INV-0006-004,2025-10-15,C0006,United Kingdom,SKU-760,Yoga Mat,3,7.18
INV-0006-005,2025-04-11,C0006,United Kingdom,SKU-839,Notebook Pack,1,35.58
INV-0007-001,2025-10-08,C0007,India,SKU-995,Notebook Pack,3,27.03
INV-0008-001,2025-08-01,C0008,USA,SKU-539,Phone Case,4,18.48
INV-0008-002,2025-07-26,C0008,India,SKU-815,Desk Organizer,1,48.8
INV-0008-003,2025-01-11,C0008,India,SKU-154,Yoga Mat,4,29.8
INV-0008-004,2025-05-04,C0008,India,SKU-878,Water Bottle,2,61.07
INV-0008-005,2025-06-23,C0008,India,SKU-117,Desk Organizer,2,49.91
