Order ID,Order Date,Customer ID,Customer Name,Age,Gender,Region,Customer Segment,Category,Product Name,Quantity,Unit Price,Discount,Sales,Profit,Payment Method
ORD-100000,2023-03-07 10:00:00,CUST-1437,Customer 650,22,Female,East,Consumer,Electronics,Laptop,6,941.49,0.1,5084.05,1716.6,Credit Card
ORD-100001,2024-07-18 08:00:00,CUST-1397,Customer 95,36,Female,Central,Consumer,Office Supplies,Printer Paper,4,15.81,0.2,50.59,17.58,UPI
ORD-100002,2024-04-22 16:00:00,CUST-1475,Customer 157,55,Female,West,Corporate,Clothing,Jeans,5,42.07,0.0,210.35,64.15,Credit Card
ORD-100003,2023-11-17 16:00:00,CUST-1561,Customer 123,39,Female,Central,Consumer,Electronics,Smartwatch,7,220.41,0.0,1542.87,308.34,Credit Card
ORD-100004,2023-11-13 18:00:00,CUST-1047,Customer 657,26,Female,Central,Consumer,Electronics,Headphones,1,84.15,0.05,79.94,18.21,UPI
ORD-100005,2024-09-18 20:00:00,CUST-1676,Customer 552,69,Female,South,Corporate,Furniture,Desk,1,190.59,0.0,190.59,41.15,UPI
ORD-100006,2023-03-04 14:00:00,CUST-1243,Customer 827,28,Other,West,Corporate,Clothing,Jacket,7,82.24,0.05,546.9,66.74,Credit Card
ORD-100007,2024-05-24 18:00:00,CUST-1192,Customer 638,22,Female,West,Corporate,Office Supplies,Notebook,4,4.11,0.05,15.62,4.85,UPI
ORD-100008,2023-05-28 17:00:00,CUST-1426,Customer 786,37,Male,East,Consumer,Clothing,Sneakers,5,97.67,0.1,439.52,115.36,Credit Card
ORD-100009,2023-03-10 11:00:00,CUST-1789,Customer 678,23,Male,West,Corporate,Furniture,Desk,3,239.55,0.0,718.65,181.27,Credit Card
ORD-100010,2024-01-20 18:00:00,CUST-1667,Customer 566,48,Female,South,Consumer,Electronics,Smartphone,6,527.96,0.0,3167.76,441.87,Credit Card
ORD-100011,2024-12-13 08:00:00,CUST-1391,Customer 467,40,Other,East,Corporate,Office Supplies,Notebook,5,3.69,0.15,15.68,1.9,Net Banking
ORD-100012,2024-06-21 15:00:00,CUST-1470,Customer 122,66,Male,South,Home Office,Electronics,Smartphone,2,582.98,0.0,1165.96,368.11,Credit Card
ORD-100013,2024-07-09 20:00:00,CUST-1401,Customer 540,26,Other,East,Corporate,Clothing,Jeans,5,49.31,0.05,234.22,30.08,Credit Card
ORD-100014,2024-06-07 16:00:00,CUST-1547,Customer 476,31,Male,South,Home Office,Electronics,Smartphone,1,637.52,0.0,637.52,63.69,Credit Card
ORD-100015,2024-07-27 20:00:00,CUST-1686,Customer 877,53,Male,Central,Consumer,Furniture,Lamp,2,38.91,0.0,77.82,19.37,UPI
ORD-100016,2024-01-10 08:00:00,CUST-1112,Customer 818,54,Female,South,Consumer,Office Supplies,Pen Set,2,8.24,0.05,15.66,4.23,Credit Card
ORD-100017,2023-04-04 14:00:00,CUST-1325,Customer 314,36,Female,West,Consumer,Office Supplies,Notebook,6,3.86,0.0,23.16,2.6,Credit Card
ORD-100018,2024-09-05 18:00:00,CUST-1454,Customer 170,65,Female,Central,Consumer,Office Supplies,Stapler,6,10.64,0.1,57.46,7.81,Net Banking
ORD-100019,2023-11-25 16:00:00,CUST-1605,Customer 193,62,Female,East,Consumer,Furniture,Desk,1,202.6,0.05,192.47,56.39,Net Banking
ORD-100020,2024-01-01 19:00:00,CUST-1076,Customer 438,49,Female,West,Home Office,Home & Kitchen,Cookware Set,7,118.83,0.15,707.04,234.02,Credit Card
ORD-100021,2023-09-28 14:00:00,CUST-1454,Customer 872,56,Female,Central,Consumer,Clothing,Sneakers,6,88.66,0.15,452.17,94.35,UPI
